version,region,input_size,threads,io_aloc,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_pth,triple_spiral,128,16,sem,20,108,477971,858789,993763,26050,0.000158,1.46
mandelbrot_pth,triple_spiral,256,16,sem,35,108,421160,448317,433159,57562,0.000395,1.2
mandelbrot_pth,triple_spiral,512,16,sem,87,108,420139,873496,791254,159964,0.000642,0.55
mandelbrot_pth,triple_spiral,1024,16,sem,285,108,969724,139630,954596,646106,0.00272,0.6
mandelbrot_pth,triple_spiral,2048,16,sem,1209,108,424267,299586,318007,719752,0.0122,0.69
mandelbrot_omp,elephant,16,16,sem,69,134,967432,894865,820841,16258,0.00012,2.94
mandelbrot_omp,elephant,32,16,sem,70,134,581960,813388,179561,22093,0.000127,3.09
mandelbrot_omp,elephant,64,16,sem,75,134,9731,607500,672924,21353,0.000119,2.18
mandelbrot_omp,elephant,128,16,sem,78,134,537340,221176,676451,33945,0.000208,1.91
mandelbrot_omp,elephant,256,16,sem,86,134,178615,339880,637533,67022,0.000724,2.3
mandelbrot_omp,elephant,512,16,sem,128,134,949177,231993,243780,187549,0.00124,1.18
mandelbrot_omp,elephant,1024,16,sem,290,134,312309,851946,174565,659969,0.00207,0.52
mandelbrot_omp,elephant,2048,16,sem,1012,134,253468,711834,990932,733325,0.00971,0.65
mandelbrot_omp,full,16,16,sem,69,134,541001,696914,665531,14350,0.000115,2.86
mandelbrot_omp,full,32,16,sem,69,134,630209,450146,762453,17371,0.000111,2.8
mandelbrot_omp,full,64,16,sem,69,134,624333,204487,910433,18618,0.000116,2.47
mandelbrot_omp,full,128,16,sem,70,134,385251,7568,571393,25533,0.000101,1.93
mandelbrot_omp,full,256,16,sem,70,134,371020,33475,100570,33275,0.000261,2.33
mandelbrot_omp,full,512,16,sem,74,135,357913,63566,465541,69896,0.000561,1.84
mandelbrot_omp,full,1024,16,sem,79,134,597610,201177,777718,199236,0.000989,1.03
mandelbrot_omp,full,2048,16,sem,95,134,390886,288687,832600,587239,0.00307,0.86
mandelbrot_omp,seahorse,16,16,sem,69,134,420783,307023,713754,15436,0.000113,2.89
mandelbrot_omp,seahorse,32,16,sem,70,134,694197,848362,99337,19429,0.000134,3.18
mandelbrot_omp,seahorse,64,16,sem,70,134,13494,904170,857245,25396,0.000133,2.42
mandelbrot_omp,seahorse,128,16,sem,70,134,528531,920179,723517,35651,0.000195,1.78
mandelbrot_omp,seahorse,256,16,sem,92,134,915967,731582,360631,74212,0.000664,2.11
