version,region,input_size,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_omp,elephant,64,51,117,182532,98092,233235,17036,0.000202,4.08
mandelbrot_omp,elephant,128,53,117,261719,103778,721374,30106,0.000293,3.07
mandelbrot_omp,elephant,256,57,117,452843,266509,798310,49865,0.000711,2.46
mandelbrot_omp,elephant,512,75,118,948950,924188,711756,148332,0.000495,0.5
mandelbrot_omp,elephant,1024,92,117,140306,355426,980658,639046,0.00104,0.28
mandelbrot_omp,elephant,2048,216,117,163445,740699,901066,682273,0.00598,0.41
mandelbrot_omp,full,16,47,117,426792,868659,518143,14377,8.37e-05,2.64
mandelbrot_omp,full,32,47,116,828589,494341,619519,14857,0.000123,4.07
mandelbrot_omp,full,64,51,117,69771,279292,797988,20129,0.000184,3.79
mandelbrot_omp,full,128,48,117,388898,793618,135600,20821,0.000166,3.05
mandelbrot_omp,full,256,48,117,85209,768022,649359,32817,0.000178,1.64
mandelbrot_omp,full,512,51,117,749223,807946,288307,53091,0.000918,2.86
mandelbrot_omp,full,1024,56,117,969645,902003,465609,154871,0.00174,1.65
mandelbrot_omp,full,2048,71,117,353550,61851,947691,622534,0.00407,1.01
mandelbrot_omp,seahorse,16,47,117,859398,178576,497315,14011,9.97e-05,3.15
mandelbrot_omp,seahorse,32,47,117,224351,141279,652066,14935,0.000118,3.18
mandelbrot_omp,seahorse,64,54,117,909344,59708,552431,25286,0.000236,3.99
mandelbrot_omp,seahorse,128,54,117,855252,841694,370097,33915,0.000411,4.01
mandelbrot_omp,seahorse,256,63,117,520194,135041,890198,54067,0.000494,1.67
mandelbrot_omp,seahorse,512,69,117,697076,519984,700103,173333,0.000445,0.42
mandelbrot_omp,seahorse,1024,99,117,223326,637086,81247,849413,0.00189,0.48
mandelbrot_omp,seahorse,2048,232,117,785825,100406,721409,212813,0.00601,0.38
mandelbrot_omp,triple_spiral,16,47,117,987438,327760,528831,12855,8.96e-05,2.86
mandelbrot_omp,triple_spiral,32,51,117,301058,361550,756207,15361,5.71e-05,1.69
mandelbrot_omp,triple_spiral,64,52,117,550178,174683,413497,18346,7.5e-05,1.5
mandelbrot_omp,triple_spiral,128,54,117,740141,342603,45505,27916,0.000446,4.02
mandelbrot_omp,triple_spiral,256,67,117,794864,411865,907503,54539,0.000817,2.49
mandelbrot_omp,triple_spiral,512,73,117,748053,625843,993382,165607,0.00036,0.31
mandelbrot_omp,triple_spiral,1024,120,116,167208,982710,477184,956404,0.00524,1.18
mandelbrot_omp,triple_spiral,2048,337,117,705687,806915,654590,444114,0.00333,0.19
